iter	RMSE
0	12.66190978
1	12.46067013
2	12.2757067
3	12.09628567
4	11.94803421
5	11.80798837
6	11.67103397
7	11.54882087
8	11.43432601
9	11.3250664
10	11.23006423
11	11.14157226
12	11.0532865
13	10.96390411
14	10.88779714
15	10.82029663
16	10.75343978
17	10.70003395
18	10.64343626
19	10.58631627
20	10.53569197
21	10.4917584
22	10.44688619
23	10.4028118
24	10.35630452
25	10.31047698
26	10.27397613
27	10.2280369
28	10.18864655
29	10.14433455
30	10.10844697
31	10.07610588
32	10.03670185
33	10.00321886
34	9.969499908
35	9.941970715
36	9.908778181
37	9.882685838
38	9.855905413
39	9.830544532
40	9.804618092
41	9.785243429
42	9.761826187
43	9.739132921
44	9.714432129
45	9.699812036
46	9.677450496
47	9.661371951
48	9.636885276
49	9.619871223
50	9.598171182
51	9.573354332
52	9.556727477
53	9.5425145
54	9.527675171
55	9.50491777
56	9.489448694
57	9.471977045
58	9.461062402
59	9.450120548
60	9.436661292
61	9.421664794
62	9.407042961
63	9.392179125
64	9.377477605
65	9.359983765
66	9.347612624
67	9.334442821
68	9.321819558
69	9.31258354
70	9.302457392
71	9.295267793
72	9.282574002
73	9.271087624
74	9.259081014
75	9.245449643
76	9.235898334
77	9.229822399
78	9.215304511
79	9.201179861
80	9.19172439
81	9.180582232
82	9.173327739
83	9.161525409
84	9.149728765
85	9.13942475
86	9.132296527
87	9.122459097
88	9.1138913
89	9.105873485
90	9.098842683
91	9.088633101
92	9.080223572
93	9.071732881
94	9.065756707
95	9.055752191
96	9.042689425
97	9.034227855
98	9.029497316
99	9.023195504
100	9.016421712
101	9.00263436
102	8.996061128
103	8.988714029
104	8.982501679
105	8.968511262
106	8.962617953
107	8.956732994
108	8.949718993
109	8.944618163
110	8.93767968
111	8.93204386
112	8.924657459
113	8.920182606
114	8.915503292
115	8.908238137
116	8.901009184
117	8.894342081
118	8.887563958
119	8.882502462
120	8.877850719
121	8.871608567
122	8.868157132
123	8.863022025
124	8.85908716
125	8.852524035
126	8.845549511
127	8.839054612
128	8.831276503
129	8.827325055
130	8.820735594
131	8.816499834
132	8.813344318
133	8.809387227
134	8.801389492
135	8.794706445
136	8.790933776
137	8.786465817
138	8.780538331
139	8.773265912
140	8.768583166
141	8.760547605
142	8.756073768
143	8.751070652
144	8.74597636
145	8.741031966
146	8.738263148
147	8.732558244
148	8.727566629
149	8.723006055
150	8.718268293
151	8.714889554
152	8.710435267
153	8.701833872
154	8.697168976
155	8.691698382
156	8.683190346
157	8.678392746
158	8.675985957
159	8.672157807
160	8.666607266
161	8.662796005
162	8.658861601
163	8.653597997
164	8.648231646
165	8.643658694
166	8.638585581
167	8.635110498
168	8.632072206
169	8.628462552
170	8.62392439
171	8.61729192
172	8.610248241
173	8.605815296
174	8.600310072
175	8.597670948
176	8.592976211
177	8.588896667
178	8.58456808
179	8.579333797
180	8.576267271
181	8.572472962
182	8.566957348
183	8.563564822
184	8.559947706
185	8.556706643
186	8.548853781
187	8.545286286
188	8.541055167
189	8.537278664
190	8.532426164
191	8.525980941
192	8.522545028
193	8.517991942
194	8.514032665
195	8.510174421
196	8.506299155
197	8.502354505
198	8.498870104
199	8.491778831
200	8.48786271
201	8.48543154
202	8.479257932
203	8.473168423
204	8.468777023
205	8.465629242
206	8.46088972
207	8.457620192
208	8.450695451
209	8.445179252
210	8.4423285
211	8.438695482
212	8.433678375
213	8.430471929
214	8.427044128
215	8.424304262
216	8.421485376
217	8.417286089
218	8.414060703
219	8.40949793
220	8.403243315
221	8.39902753
222	8.395636441
223	8.392071931
224	8.387315483
225	8.382888235
226	8.379255607
227	8.375720209
228	8.371647985
229	8.367414359
230	8.364756813
231	8.36123598
232	8.358274932
233	8.353257972
234	8.347337288
235	8.344114743
236	8.341475302
237	8.337591272
238	8.334716323
239	8.33074771
240	8.326643
241	8.321938048
242	8.317679213
243	8.314991468
244	8.312632084
245	8.308618795
246	8.305025556
247	8.301332054
248	8.298378072
249	8.296231252
