iter	Passed	Remaining
0	3	3151
1	5	2892
2	8	2670
3	10	2537
4	12	2447
5	14	2414
6	16	2384
7	19	2381
8	21	2363
9	23	2352
10	26	2339
11	28	2333
12	30	2312
13	32	2316
14	35	2315
15	37	2309
16	39	2309
17	42	2298
18	44	2281
19	46	2278
20	48	2278
21	51	2283
22	53	2277
23	55	2272
24	58	2268
25	60	2253
26	62	2246
27	64	2237
28	67	2243
29	69	2235
30	71	2236
31	73	2238
32	76	2234
33	78	2228
34	80	2226
35	83	2232
36	85	2229
37	88	2229
38	90	2224
39	92	2224
40	94	2217
41	97	2214
42	99	2210
43	101	2208
44	103	2204
45	106	2199
46	108	2199
47	110	2199
48	113	2203
49	115	2199
50	118	2198
51	120	2191
52	122	2190
53	124	2187
54	127	2182
55	129	2181
56	131	2182
57	134	2177
58	136	2174
59	138	2170
60	140	2168
61	143	2165
62	145	2164
63	147	2163
64	150	2162
65	152	2157
66	154	2154
67	157	2154
68	159	2152
69	161	2147
70	163	2145
71	166	2140
72	168	2141
73	170	2137
74	173	2134
75	175	2136
76	178	2141
77	181	2140
78	183	2136
79	185	2133
80	188	2135
81	190	2133
82	192	2130
83	195	2128
84	197	2127
85	199	2123
86	201	2119
87	204	2117
88	206	2115
89	209	2120
90	211	2116
91	214	2113
92	216	2110
93	218	2107
94	220	2103
95	223	2105
96	225	2102
97	228	2102
98	230	2101
99	233	2098
100	235	2095
101	237	2090
102	239	2088
103	241	2084
104	244	2084
105	246	2082
106	249	2081
107	251	2079
108	253	2076
109	256	2074
110	258	2069
111	260	2066
112	263	2064
113	265	2062
114	267	2060
115	270	2059
116	272	2057
117	274	2054
118	277	2053
119	279	2051
120	282	2048
121	284	2046
122	286	2043
123	289	2043
124	291	2040
125	293	2037
126	295	2034
127	298	2031
128	300	2029
129	302	2025
130	305	2023
131	307	2021
132	309	2019
133	312	2019
134	314	2017
135	317	2014
136	319	2011
137	321	2008
138	323	2005
139	326	2003
140	328	2001
141	330	1999
142	333	1997
143	335	1996
144	338	1995
145	340	1992
146	342	1989
147	344	1986
148	347	1983
149	349	1980
150	351	1976
151	353	1972
152	355	1970
153	358	1968
154	361	1970
155	363	1967
156	365	1965
157	368	1962
158	371	1963
159	373	1959
160	375	1956
161	377	1953
162	379	1950
163	382	1950
164	385	1948
165	387	1946
166	390	1946
167	392	1943
168	394	1940
169	396	1937
170	399	1934
171	401	1932
172	404	1932
173	406	1928
174	408	1926
175	410	1923
176	413	1921
177	415	1917
178	417	1914
179	419	1911
180	421	1908
181	424	1906
182	426	1904
183	428	1902
184	431	1898
185	433	1898
186	436	1895
187	438	1893
188	440	1891
189	443	1889
190	445	1887
191	447	1885
192	450	1884
193	453	1882
194	455	1881
195	457	1878
196	460	1876
197	462	1873
198	464	1870
199	466	1867
200	469	1864
201	471	1864
202	474	1862
203	476	1859
204	479	1858
205	481	1855
206	483	1853
207	486	1851
208	488	1848
209	490	1845
210	493	1843
211	495	1840
212	497	1838
213	499	1836
214	502	1833
215	504	1830
216	506	1828
217	508	1825
218	511	1822
219	513	1819
220	515	1817
221	517	1814
222	520	1812
223	522	1810
224	524	1807
225	526	1803
226	528	1801
227	531	1798
228	533	1795
229	535	1794
230	538	1792
231	540	1790
232	543	1788
233	545	1786
234	547	1783
235	550	1781
236	552	1778
237	554	1776
238	557	1773
239	559	1770
240	561	1768
241	563	1766
242	566	1764
243	568	1762
244	571	1760
245	573	1758
246	575	1755
247	578	1753
248	580	1751
249	583	1749
250	585	1746
251	587	1744
252	589	1741
253	592	1739
254	595	1738
255	597	1736
256	599	1733
257	602	1731
258	604	1729
259	606	1726
260	608	1724
261	611	1721
262	613	1718
263	615	1717
264	618	1714
265	620	1712
266	622	1709
267	624	1706
268	627	1704
269	629	1703
270	632	1700
271	634	1697
272	636	1695
273	638	1692
274	641	1689
275	643	1689
276	646	1687
277	648	1684
278	651	1682
279	653	1679
280	655	1677
281	658	1675
282	660	1674
283	662	1671
284	665	1668
285	667	1666
286	669	1664
287	672	1662
288	674	1660
289	677	1658
290	679	1656
291	682	1654
292	684	1651
293	686	1649
294	689	1647
295	691	1645
296	694	1642
297	696	1640
298	698	1638
299	701	1636
300	703	1633
301	705	1630
302	707	1628
303	710	1625
304	712	1624
305	715	1621
306	717	1620
307	720	1617
308	722	1615
309	724	1613
310	727	1611
311	729	1608
312	731	1606
313	734	1603
314	736	1602
315	739	1599
316	741	1597
317	743	1595
318	745	1592
319	748	1590
320	750	1587
321	752	1585
322	755	1583
323	757	1580
324	759	1578
325	762	1576
326	764	1573
327	766	1570
328	768	1568
329	771	1566
330	773	1563
331	776	1561
332	778	1559
333	780	1556
334	782	1553
335	784	1551
336	787	1548
337	789	1546
338	791	1543
339	794	1541
340	796	1539
341	798	1536
342	801	1534
343	803	1532
344	805	1529
345	807	1526
346	810	1524
347	812	1521
348	814	1519
349	816	1516
350	819	1515
351	821	1513
352	824	1510
353	826	1508
354	828	1506
355	831	1504
356	833	1501
357	835	1498
358	838	1496
359	840	1493
360	842	1491
361	845	1489
362	847	1487
363	849	1484
364	852	1483
365	855	1481
366	857	1479
367	859	1476
368	862	1474
369	864	1472
370	867	1470
371	869	1467
372	871	1465
373	873	1462
374	875	1459
375	878	1457
376	880	1454
377	882	1452
378	884	1449
379	886	1447
380	889	1444
381	891	1442
382	893	1439
383	895	1436
384	897	1434
385	900	1431
386	902	1429
387	905	1427
388	907	1425
389	909	1422
390	911	1420
391	914	1417
392	916	1415
393	919	1413
394	921	1411
395	923	1408
396	925	1406
397	928	1403
398	930	1401
399	933	1399
400	935	1397
401	937	1394
402	940	1392
403	942	1390
404	944	1387
405	946	1385
406	948	1382
407	951	1380
408	953	1378
409	955	1375
410	958	1373
411	960	1370
412	962	1368
413	964	1365
414	967	1363
415	969	1361
416	972	1359
417	974	1356
418	976	1354
419	979	1352
420	981	1350
421	984	1347
422	986	1345
423	988	1343
424	991	1341
425	994	1339
426	997	1337
427	999	1335
428	1001	1333
429	1004	1331
430	1006	1328
431	1008	1326
432	1011	1324
433	1013	1321
434	1015	1319
435	1018	1317
436	1020	1314
437	1022	1312
438	1025	1310
439	1027	1307
440	1029	1305
441	1032	1303
442	1034	1300
443	1036	1298
444	1039	1296
445	1041	1293
446	1043	1291
447	1046	1289
448	1049	1287
449	1051	1284
450	1053	1282
